login_hour,login_day,is_new_device,is_new_location,is_new_browser,failed_attempts_before,login_frequency,session_duration,typing_speed,mouse_entropy,pages_visited,actions_per_minute,time_since_last_login,is_vpn,country_change,device_type_encoded,hour_sin,hour_cos,is_hijacked
14,6,0,0,0,0,0.5,58.99,42.51,0.6285,6,5.54,39.66,0,0,1,-0.4999999999999997,-0.8660254037844388,0
17,5,0,0,0,0,1.61,20.61,60.27,0.3281,20,9.77,27.0,0,0,0,-0.9659258262890683,-0.25881904510252063,0
6,1,0,0,0,0,4.88,18.54,56.69,0.4595,12,4.95,30.94,0,0,0,1.0,6.123233995736766e-17,0
7,4,1,0,0,0,2.15,10.34,44.62,0.3167,30,8.1,17.19,0,0,0,0.9659258262890683,-0.25881904510252063,0
22,5,0,1,0,4,0.51,11.94,119.62,0.196,5,36.1,135.34,1,0,1,-0.5000000000000004,0.8660254037844384,1
21,5,0,0,0,0,0.71,42.56,73.93,0.4261,4,8.32,30.49,0,0,0,-0.7071067811865477,0.7071067811865474,0
8,2,0,0,0,2,4.98,12.35,62.35,0.594,13,5.46,4.6,1,0,0,0.8660254037844387,-0.4999999999999998,0
17,6,0,0,0,0,1.15,81.39,36.12,0.4668,3,9.87,36.59,0,0,2,-0.9659258262890683,-0.25881904510252063,0
1,5,0,0,1,0,4.27,79.7,66.48,0.47,10,3.6,29.08,0,0,1,0.25881904510252074,0.9659258262890683,0
12,3,0,0,1,0,1.47,47.83,38.29,0.3707,25,3.69,26.16,0,0,0,1.2246467991473532e-16,-1.0,0
12,5,0,0,1,0,4.53,98.75,35.37,0.5917,25,6.61,39.16,0,0,0,1.2246467991473532e-16,-1.0,0
16,1,0,0,0,0,1.0,67.91,51.76,0.5387,21,9.77,44.61,0,0,1,-0.8660254037844385,-0.5000000000000004,0
13,2,0,0,1,0,1.32,23.65,61.3,0.3197,6,9.09,28.75,0,0,0,-0.2588190451025208,-0.9659258262890683,0
23,2,0,1,0,2,0.06,3.92,52.29,0.1627,2,20.24,345.56,1,1,0,-0.25881904510252157,0.9659258262890681,1
18,5,0,0,0,0,1.72,103.88,78.31,0.557,20,9.29,45.24,0,0,2,-1.0,-1.8369701987210297e-16,0
19,6,0,0,0,0,3.88,29.38,32.67,0.6136,2,2.88,35.45,0,0,1,-0.9659258262890684,0.2588190451025203,0
15,5,0,0,0,1,3.28,24.99,70.98,0.4103,12,2.77,36.01,0,0,0,-0.7071067811865471,-0.7071067811865479,0
20,6,0,0,1,0,0.98,57.88,35.66,0.35,27,8.96,22.27,0,0,0,-0.8660254037844386,0.5000000000000001,0
14,6,0,0,0,0,1.24,36.58,55.57,0.4944,18,3.72,3.58,0,0,2,-0.4999999999999997,-0.8660254037844388,0
